,GrLivArea,SalePrice,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,LowQualFinSF,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,Baths,Class_1.5story,Class_1story_dev,Class_2story,Class_2story_dev,Class_duplex,Class_split,Lot_Corner,Lot_CulDSac,Lot_FR,Foundation_Concrete,Foundation_Other
19,1610,205000,0,0.0,10603,1,0,0,6,7,1977,2001,0,28.0,3,3,3.0,3.0,1200.0,0.0,410.0,1610.0,4,1,0.0,0,3,1,4,6,7,2,3.0,2.0,2.0,2.0,480.0,3.0,3.0,1,168,68,0,0,0,0,0.0,3.0,0,0,0,0,0,0,0,0,0,1,0
20,1091,131250,0,62.0,7706,0,0,0,6,5,1993,1996,0,0.0,3,4,4.0,3.0,114.0,270.0,0.0,384.0,5,1,0.0,0,2,1,3,5,7,0,0.0,2.0,3.0,1.0,429.0,3.0,3.0,1,280,0,0,0,0,0,0.0,1.5,0,0,0,0,0,1,0,0,0,0,0
21,1486,181000,0,65.0,7441,1,0,0,7,5,2006,2006,0,170.0,4,3,4.0,3.0,0.0,0.0,1461.0,1461.0,5,1,0.0,0,3,1,4,7,7,0,0.0,2.0,2.0,2.0,566.0,3.0,3.0,1,0,32,0,0,0,0,0.0,2.0,0,0,0,0,0,0,0,0,0,1,0
22,789,115000,1,50.0,6000,0,0,0,5,5,1948,1950,0,0.0,3,3,3.0,3.0,104.0,169.0,516.0,789.0,5,1,0.0,0,2,1,3,5,7,0,0.0,1.0,1.0,1.0,250.0,3.0,3.0,1,0,0,0,0,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0
23,1092,98000,1,21.0,1477,0,0,0,6,9,1970,2007,0,0.0,3,4,3.0,3.0,358.0,0.0,188.0,546.0,5,1,0.0,0,3,1,3,6,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,187,0,0,0,0,0,0.0,2.5,0,0,0,1,0,0,0,0,0,0,0
24,2640,265979,1,65.0,11700,1,0,0,7,7,1880,2003,1,0.0,4,3,3.0,2.0,0.0,0.0,1240.0,1240.0,3,0,0.0,0,4,1,4,8,7,1,4.0,1.0,1.0,4.0,864.0,3.0,3.0,0,181,0,386,0,0,0,0.0,1.5,0,0,1,0,0,0,1,0,0,0,1
25,1092,105500,1,21.0,1680,0,0,0,5,5,1971,1971,0,492.0,3,3,3.0,3.0,300.0,0.0,225.0,525.0,3,1,0.0,0,3,1,3,6,7,0,0.0,1.0,1.0,1.0,320.0,3.0,3.0,1,0,0,0,0,0,0,0.0,1.5,0,0,0,1,0,0,0,0,0,0,0
26,1458,168165,0,58.0,13204,1,0,0,7,5,2006,2007,0,44.0,3,3,4.0,3.0,0.0,0.0,608.0,608.0,5,1,0.0,0,3,1,4,6,7,0,0.0,1.0,3.0,2.0,454.0,3.0,3.0,1,100,33,0,0,0,0,0.0,2.0,0,0,1,0,0,0,0,0,0,1,0
27,1466,201000,0,73.0,8925,1,1,0,8,5,2007,2007,0,0.0,4,3,4.0,3.0,16.0,0.0,1450.0,1466.0,5,1,0.0,0,3,1,4,7,7,0,0.0,2.0,3.0,3.0,610.0,3.0,3.0,1,100,18,0,0,0,0,0.0,2.0,0,0,0,0,0,0,0,0,0,1,0
28,1573,177500,1,0.0,2117,0,0,0,6,5,2000,2000,0,216.0,4,3,4.0,3.0,378.0,0.0,378.0,756.0,5,1,0.0,0,3,1,4,5,7,0,0.0,1.0,1.0,2.0,440.0,3.0,3.0,1,0,32,0,0,0,0,0.0,2.5,0,0,0,1,0,0,0,0,0,1,0
29,2090,200000,0,0.0,10382,1,0,0,7,6,1973,1973,0,240.0,3,3,4.0,3.0,859.0,32.0,216.0,1107.0,5,1,0.0,0,3,1,3,7,7,2,3.0,2.0,2.0,2.0,484.0,3.0,3.0,1,235,204,228,0,0,0,0.0,3.5,0,0,1,0,0,0,1,0,0,0,0
30,2046,450000,0,105.0,15431,0,0,0,10,5,2005,2006,1,400.0,5,3,5.0,3.0,1430.0,0.0,564.0,1994.0,5,1,0.0,0,2,1,5,7,7,2,4.0,2.0,3.0,3.0,878.0,3.0,3.0,1,188,65,0,0,175,0,0.0,3.5,0,0,0,0,0,0,0,0,0,1,0
31,886,91300,1,50.0,5784,0,0,0,5,8,1938,1996,0,0.0,3,3,2.0,3.0,0.0,0.0,190.0,190.0,4,1,1.0,0,2,1,3,4,7,0,0.0,2.0,1.0,1.0,273.0,3.0,3.0,1,144,20,80,0,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1
32,1258,173500,0,64.0,7697,0,0,0,7,6,2007,2007,0,0.0,4,3,4.0,3.0,0.0,0.0,1246.0,1246.0,5,1,0.0,0,3,1,4,6,7,0,0.0,2.0,2.0,2.0,462.0,3.0,3.0,1,0,0,0,0,0,0,0.0,2.0,0,0,0,0,0,0,0,0,0,1,0
33,1324,199500,0,100.0,18494,1,0,0,6,5,2005,2005,0,0.0,4,3,4.0,3.0,0.0,0.0,1324.0,1324.0,5,1,0.0,0,3,1,4,6,7,0,0.0,2.0,3.0,2.0,430.0,3.0,3.0,1,36,23,0,0,0,0,0.0,2.0,0,0,0,0,0,0,1,0,0,1,0
34,1848,207000,0,64.0,13053,0,1,0,6,7,1923,2000,1,0.0,3,3,3.0,3.0,0.0,0.0,833.0,833.0,4,1,0.0,0,4,1,4,8,7,1,4.0,1.0,1.0,2.0,370.0,3.0,3.0,0,0,0,0,0,220,0,0.0,1.5,1,0,0,0,0,0,0,0,0,0,1
35,1269,155000,0,70.0,7931,0,0,0,5,6,1960,1960,0,0.0,3,3,3.0,3.0,374.0,532.0,363.0,1269.0,3,1,1.0,0,3,1,3,6,7,1,2.0,1.0,1.0,1.0,308.0,3.0,3.0,1,0,0,0,0,0,0,0.0,1.5,0,0,0,0,0,0,0,0,0,0,0
36,1346,220000,0,88.0,11896,1,0,0,7,5,2008,2008,0,60.0,4,3,4.0,3.0,78.0,0.0,1258.0,1336.0,5,1,0.0,0,3,1,4,6,7,1,3.0,2.0,3.0,3.0,660.0,3.0,3.0,1,100,48,0,0,0,0,0.0,3.0,0,0,0,0,0,0,1,0,0,1,0
37,1749,196000,0,68.0,9272,1,0,0,7,5,1999,1999,0,0.0,4,3,4.0,3.0,500.0,0.0,342.0,842.0,5,1,0.0,0,3,1,4,7,7,0,0.0,2.0,2.0,2.0,515.0,3.0,3.0,1,140,85,0,0,0,0,0.0,2.5,0,0,1,0,0,0,0,0,0,1,0
38,492,61500,1,52.0,7830,0,0,0,3,5,1921,1950,0,0.0,3,3,2.0,3.0,416.0,0.0,76.0,492.0,3,1,0.0,0,1,1,3,3,7,0,0.0,1.0,1.0,1.0,200.0,2.0,3.0,0,0,0,78,0,0,0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,1
39,2030,195000,0,0.0,12046,1,0,0,6,6,1976,1976,0,298.0,3,3,3.0,3.0,156.0,0.0,692.0,848.0,3,1,0.0,0,4,1,4,8,7,1,3.0,2.0,3.0,2.0,551.0,3.0,3.0,1,0,224,0,0,0,0,0.0,2.5,0,0,1,0,0,0,0,0,0,0,0
40,988,129250,0,65.0,7150,0,0,0,5,6,1966,1966,1,52.0,3,3,3.0,3.0,725.0,0.0,263.0,988.0,3,1,0.0,0,3,1,3,5,7,0,0.0,1.0,1.0,1.0,360.0,3.0,3.0,1,0,0,0,0,0,0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0
41,2172,291000,0,0.0,11000,0,0,0,9,5,2000,2000,1,295.0,4,3,5.0,3.0,0.0,0.0,1519.0,1519.0,5,1,0.0,0,4,1,5,8,7,1,3.0,1.0,2.0,3.0,687.0,3.0,3.0,1,162,153,0,0,0,0,0.0,2.5,0,0,1,0,0,0,0,0,1,1,0
42,1080,134000,0,71.0,9187,0,1,0,6,5,1983,1983,0,0.0,3,4,3.0,3.0,336.0,0.0,748.0,1084.0,3,1,0.0,0,3,1,3,5,7,0,0.0,2.0,1.0,2.0,484.0,3.0,3.0,1,120,0,158,0,0,0,0.0,1.5,0,0,0,0,0,0,1,0,0,1,0
43,1312,186000,0,76.0,11355,1,0,0,7,7,1958,2001,0,125.0,3,3,3.0,3.0,637.0,0.0,675.0,1312.0,5,1,0.0,0,3,1,3,6,7,1,4.0,2.0,2.0,2.0,495.0,3.0,3.0,1,0,304,144,0,0,0,3.0,1.5,0,0,0,0,0,0,1,0,0,0,0
44,925,133500,0,0.0,8638,1,0,0,5,6,1963,1963,0,0.0,3,3,3.0,3.0,181.0,0.0,744.0,925.0,4,1,0.0,0,2,1,3,5,7,0,0.0,1.0,1.0,2.0,484.0,3.0,3.0,1,203,74,0,0,0,0,0.0,2.0,0,0,0,0,0,0,0,0,0,1,0
45,1534,148000,0,60.0,10800,0,0,0,5,9,1895,1999,0,0.0,3,4,4.0,3.0,0.0,0.0,736.0,736.0,5,1,0.0,0,3,1,4,6,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,112,0,0,0,0,0.0,1.5,0,0,1,0,0,0,0,0,0,0,0
46,2376,325300,0,101.0,14215,1,0,0,8,5,2005,2006,0,380.0,4,3,5.0,3.0,0.0,0.0,1158.0,1158.0,5,1,0.0,0,4,1,4,9,7,1,4.0,1.0,2.0,3.0,853.0,3.0,3.0,1,240,154,0,0,0,0,0.0,3.5,0,0,1,0,0,0,1,0,0,1,0
47,1959,215000,0,59.0,11796,1,0,0,7,5,2004,2005,0,0.0,4,3,4.0,3.0,0.0,0.0,847.0,847.0,5,1,0.0,0,4,1,4,8,7,1,4.0,1.0,3.0,2.0,434.0,3.0,3.0,1,100,48,0,0,0,0,0.0,2.5,0,0,1,0,0,0,0,0,0,1,0
48,1716,131000,0,60.0,11409,0,0,0,5,4,1949,2008,0,0.0,3,3,3.0,3.0,292.0,0.0,476.0,768.0,4,1,0.0,0,3,1,3,8,5,1,4.0,2.0,1.0,1.0,281.0,3.0,3.0,1,0,0,0,0,160,0,0.0,1.5,1,0,0,0,0,0,0,0,0,0,0
49,936,109500,1,56.0,4485,0,0,0,5,7,1920,1950,0,0.0,3,3,3.0,3.0,579.0,0.0,357.0,936.0,3,1,0.0,0,2,1,3,5,7,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,51,0,135,0,0,0,3.0,2.0,0,0,0,0,0,0,0,0,0,1,0
50,1230,110000,1,60.0,10440,0,0,0,5,6,1910,1981,0,0.0,3,3,3.0,3.0,0.0,0.0,440.0,440.0,4,1,0.0,0,2,1,3,5,7,0,0.0,1.0,1.0,2.0,440.0,3.0,3.0,1,74,0,128,0,0,0,3.0,1.5,1,0,0,0,0,0,1,0,0,1,0
51,2592,150000,0,60.0,10890,0,0,0,5,6,1923,1950,1,0.0,3,3,3.0,3.0,371.0,0.0,925.0,1296.0,2,0,1.0,0,6,2,3,12,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,742,240,0,0,0,0.0,4.0,0,0,0,0,1,0,0,0,0,1,0
52,1565,193800,1,32.0,3784,1,0,0,8,5,2006,2007,0,36.0,4,3,4.0,3.0,60.0,0.0,1451.0,1511.0,5,1,0.0,0,2,1,4,5,7,0,0.0,2.0,3.0,2.0,476.0,3.0,3.0,1,0,120,0,0,0,0,0.0,3.0,0,1,0,0,0,0,0,0,0,1,0
53,1868,178000,0,78.0,12090,0,0,0,6,7,1984,2003,1,74.0,3,3,4.0,3.0,0.0,0.0,585.0,585.0,5,1,0.0,0,3,1,3,7,7,1,3.0,1.0,3.0,2.0,477.0,3.0,3.0,1,268,112,0,0,147,0,0.0,3.5,0,0,0,0,0,1,0,0,0,0,0
54,1422,179600,0,63.0,8500,0,0,0,7,5,2004,2004,0,106.0,4,3,4.0,3.0,0.0,0.0,1422.0,1422.0,5,1,0.0,0,3,1,4,7,7,0,0.0,2.0,2.0,2.0,626.0,3.0,3.0,1,192,60,0,0,0,0,0.0,2.0,0,0,0,0,0,0,0,0,1,1,0
55,1200,179000,0,60.0,10800,0,0,0,5,5,1987,1988,0,0.0,3,3,4.0,4.0,1200.0,0.0,0.0,1200.0,3,1,0.0,0,3,1,3,5,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,120,0,0,0,0,0,0.0,6.0,0,0,0,0,1,0,0,0,0,0,0
56,1641,140000,0,70.0,10759,0,0,0,5,4,1972,1972,0,0.0,3,4,4.0,3.0,190.0,811.0,0.0,1001.0,3,1,0.0,0,4,1,3,5,7,1,4.0,1.0,1.0,2.0,490.0,3.0,3.0,1,0,0,92,0,0,0,4.0,2.0,1,0,0,0,0,0,1,0,0,0,0
57,1973,395000,0,110.0,14226,0,0,0,8,5,2006,2006,1,375.0,4,3,4.0,3.0,0.0,0.0,1935.0,1935.0,4,1,0.0,0,3,1,4,9,7,1,4.0,2.0,3.0,3.0,895.0,3.0,3.0,1,315,45,0,0,0,0,0.0,2.0,0,0,0,0,0,0,1,0,0,1,0
58,1248,151500,0,80.0,10800,0,0,0,5,7,1960,1960,1,88.0,3,3,3.0,3.0,632.0,0.0,616.0,1248.0,5,1,0.0,0,3,1,3,6,7,0,0.0,2.0,1.0,1.0,286.0,3.0,3.0,1,0,0,0,0,0,0,3.0,2.0,0,0,0,0,0,0,0,0,0,0,0
59,2418,341000,0,96.0,10542,0,0,0,7,5,1993,1994,1,651.0,4,3,4.0,3.0,1173.0,0.0,138.0,1311.0,5,1,0.0,0,3,1,4,9,7,1,3.0,2.0,2.0,3.0,983.0,3.0,3.0,1,250,154,216,0,0,0,0.0,3.5,0,0,1,0,0,0,0,0,0,1,0
60,1755,235000,0,0.0,11949,0,0,0,7,8,1991,2008,0,196.0,4,4,4.0,3.0,601.0,216.0,158.0,975.0,5,1,0.0,0,3,1,4,7,7,1,3.0,2.0,1.0,2.0,524.0,3.0,3.0,1,502,60,0,0,0,0,4.0,3.0,0,0,1,0,0,0,0,0,0,1,0
61,672,72000,1,61.0,8534,0,1,0,4,4,1925,1950,0,0.0,3,3,2.0,3.0,0.0,0.0,432.0,432.0,3,0,1.0,0,2,1,3,4,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,112,0,0,0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,1
62,1626,154000,0,70.0,10512,0,0,0,6,6,1954,1954,0,0.0,3,3,3.0,3.0,491.0,0.0,497.0,988.0,5,1,0.0,0,3,1,4,6,7,0,0.0,2.0,1.0,1.0,332.0,3.0,3.0,1,366,0,0,0,0,0,0.0,1.5,1,0,0,0,0,0,0,0,0,0,0
63,1726,222000,1,0.0,3830,1,0,0,6,5,2008,2008,0,280.0,4,3,4.0,3.0,0.0,0.0,1726.0,1726.0,5,1,0.0,0,2,1,4,6,7,1,4.0,2.0,3.0,2.0,561.0,3.0,3.0,1,0,254,0,0,0,0,0.0,2.5,0,1,0,0,0,0,0,0,0,1,0
64,2748,390000,0,108.0,13418,0,0,0,9,5,2006,2006,1,270.0,4,3,5.0,3.0,1420.0,0.0,430.0,1850.0,5,1,0.0,0,4,1,5,9,7,1,4.0,1.0,3.0,3.0,850.0,3.0,3.0,1,212,182,0,0,0,0,0.0,3.5,0,0,1,0,0,0,0,0,0,1,0
65,894,128200,0,75.0,10650,0,0,0,5,6,1976,1976,0,0.0,3,3,3.0,4.0,182.0,712.0,0.0,894.0,3,1,0.0,0,3,1,3,5,7,0,0.0,2.0,1.0,1.0,308.0,3.0,3.0,1,365,0,0,0,0,0,3.0,2.0,0,0,0,0,0,0,1,0,0,0,0
66,2470,615000,0,106.0,12720,0,1,1,10,5,2003,2003,1,680.0,5,3,5.0,3.0,2257.0,0.0,278.0,2535.0,5,1,0.0,0,1,1,5,7,7,2,4.0,2.0,3.0,3.0,789.0,3.0,3.0,1,154,65,0,0,216,144,0.0,3.5,0,0,0,0,0,0,0,0,0,1,0
67,1174,158000,0,0.0,12250,1,0,0,5,6,1978,1978,0,180.0,3,3,4.0,3.0,781.0,0.0,83.0,864.0,5,1,0.0,0,3,1,3,5,7,0,0.0,2.0,1.0,2.0,528.0,3.0,3.0,1,211,0,280,0,0,0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0
68,1324,254000,0,48.0,6240,0,0,0,8,5,2006,2006,1,176.0,4,3,4.0,3.0,863.0,0.0,461.0,1324.0,5,1,0.0,0,2,1,4,6,7,1,4.0,2.0,3.0,2.0,550.0,3.0,3.0,1,192,38,0,0,0,0,0.0,3.0,0,1,0,0,0,0,0,0,0,1,0
69,2447,169000,0,50.0,9638,0,0,0,6,7,1919,1990,0,0.0,3,3,3.0,3.0,0.0,0.0,804.0,804.0,5,1,0.0,0,4,1,4,10,5,1,4.0,1.0,1.0,1.0,336.0,3.0,3.0,1,272,0,42,0,116,0,0.0,2.0,1,0,0,0,0,0,0,0,0,1,0
70,2199,284500,0,84.0,9660,0,0,0,8,5,1997,1997,1,1290.0,4,3,4.0,3.0,0.0,0.0,1173.0,1173.0,5,1,0.0,0,3,1,4,9,7,1,3.0,2.0,3.0,2.0,516.0,3.0,3.0,1,0,131,0,0,0,0,0.0,2.5,0,0,1,0,0,0,0,0,0,1,0
71,1374,184500,0,67.0,13300,1,0,0,7,5,2004,2004,0,0.0,4,3,4.0,3.0,326.0,0.0,58.0,384.0,5,1,0.0,0,3,1,4,7,7,1,4.0,1.0,3.0,2.0,400.0,3.0,3.0,1,100,0,0,0,0,0,0.0,3.5,0,0,0,0,0,1,0,0,0,1,0
72,1335,210400,1,75.0,9000,0,0,0,7,5,2006,2007,0,0.0,4,3,4.0,3.0,0.0,0.0,1335.0,1335.0,5,1,0.0,0,3,1,4,6,7,0,0.0,2.0,2.0,2.0,575.0,3.0,3.0,1,0,210,0,0,0,0,0.0,2.0,0,0,0,0,0,0,0,0,0,1,0
73,1588,214000,0,78.0,10264,1,0,0,7,5,1999,1999,0,183.0,4,3,4.0,3.0,1162.0,0.0,426.0,1588.0,5,1,0.0,0,3,1,4,6,7,0,0.0,2.0,2.0,2.0,472.0,3.0,3.0,1,158,29,0,0,0,0,0.0,2.0,0,0,0,0,0,0,0,0,0,1,0
74,1652,392500,1,64.0,5587,1,1,1,8,5,2008,2008,1,186.0,5,3,5.0,3.0,1480.0,0.0,120.0,1600.0,5,1,0.0,0,2,1,4,5,7,1,4.0,2.0,3.0,2.0,482.0,3.0,3.0,1,162,53,0,153,0,0,0.0,3.5,0,1,0,0,0,0,0,0,0,1,0
75,2021,274725,0,168.0,23257,1,1,0,7,5,2006,2006,0,0.0,4,3,5.0,4.0,0.0,0.0,868.0,868.0,5,1,0.0,0,3,1,4,9,7,1,4.0,1.0,2.0,2.0,422.0,3.0,3.0,1,0,100,0,0,0,0,0.0,2.5,0,0,1,0,0,0,0,1,0,1,0
76,1412,156932,0,73.0,8499,1,0,0,6,5,2006,2007,0,0.0,3,3,4.0,3.0,0.0,0.0,616.0,616.0,5,1,0.0,0,3,1,4,6,7,1,4.0,1.0,3.0,2.0,432.0,3.0,3.0,1,0,36,0,0,0,0,0.0,2.5,0,0,1,0,0,0,0,0,0,1,0
77,1464,282922,0,49.0,15256,1,0,0,8,5,2007,2007,0,84.0,4,3,4.0,3.0,929.0,0.0,556.0,1485.0,5,1,0.0,0,3,1,4,6,7,0,0.0,2.0,1.0,3.0,754.0,3.0,3.0,1,168,160,0,0,0,0,0.0,3.0,0,0,0,0,0,0,0,1,0,1,0
78,1690,144000,1,65.0,8850,1,1,0,7,6,1916,1950,0,0.0,3,3,3.0,3.0,0.0,0.0,815.0,815.0,5,1,0.0,0,3,1,3,7,7,1,4.0,1.0,1.0,1.0,225.0,3.0,3.0,1,0,0,330,0,0,0,0.0,1.0,0,0,1,0,0,0,1,0,0,0,1
79,1092,88000,1,21.0,1680,0,0,0,6,5,1971,1971,0,381.0,3,3,3.0,3.0,0.0,0.0,525.0,525.0,3,1,0.0,0,3,1,3,6,7,0,0.0,1.0,1.0,1.0,264.0,3.0,3.0,1,0,0,0,0,0,0,0.0,1.5,0,0,0,1,0,0,0,0,0,0,0
80,1012,67500,1,70.0,9800,0,0,0,5,5,1920,1950,0,0.0,3,2,3.0,3.0,0.0,0.0,816.0,816.0,3,0,1.0,0,2,1,3,5,7,0,0.0,1.0,1.0,1.0,429.0,3.0,3.0,1,121,0,80,0,0,0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,1
81,1210,148000,0,140.0,11080,0,0,0,6,6,1975,1975,0,257.0,3,3,3.0,3.0,576.0,0.0,552.0,1128.0,3,1,0.0,0,3,1,3,6,7,0,0.0,2.0,1.0,2.0,528.0,3.0,3.0,1,0,0,0,0,0,0,0.0,3.0,0,0,0,0,0,1,1,0,0,0,0
